"Text","Date","Time","Draft","Facebook","Twitter/X","LinkedIn","GBP","Instagram","Pinterest","TikTok","Youtube","Threads","Bluesky","Picture Url 1","Picture Url 2","Picture Url 3","Picture Url 4","Picture Url 5","Picture Url 6","Picture Url 7","Picture Url 8","Picture Url 9","Picture Url 10","Alt text picture 1","Alt text picture 2","Alt text picture 3","Alt text picture 4","Alt text picture 5","Alt text picture 6","Alt text picture 7","Alt text picture 8","Alt text picture 9","Alt text picture 10","Document title","Shortener","Video Thumbnail Url","Video Cover Frame","Twitter/X Can reply","Twitter/X Type","Twitter/X Poll Duration minutes","Twitter/X Poll Option 1","Twitter/X Poll Option 2","Twitter/X Poll Option 3","Twitter/X Poll Option 4","Pinterest Board","Pinterest Pin Title","Pinterest Pin Link","Pinterest Pin New Format","Instagram Post Type","Instagram Show Reel On Feed","Instagram Trial Reel Share Automatically","Youtube Video Title","Youtube Video Type","Youtube Video Privacy","Youtube video for kids","Youtube AI generated content","Youtube Video Category","Youtube Video Tags","Youtube playlist","GBP Post Type","Facebook Post Type","Facebook Title","First Comment Text","TikTok Title","TikTok disable comments","TikTok disable duet","TikTok disable stitch","TikTok Post Privacy","TikTok Branded Content","TikTok Your Brand","TikTok Auto Add Music","TikTok Photo Cover Index","TikTok musicId","TikTok music title","TikTok music author","TikTok music previewUrl","TikTok music thumbnailUrl","TikTok music soundVolume","TikTok music originalVolume","TikTok music startMillis","TikTok music endMillis","TikTok Ai generated content","LinkedIn Type","LinkedIn Poll Question","LinkedIn Poll Option 1","LinkedIn Poll Option 2","LinkedIn Poll Option 3","LinkedIn Poll Option 4","LinkedIn Poll Duration","LinkedIn Show link preview","LinkedIn Images as Carousel","Threads Reply Control","Threads Is Spoiler","Threads Post Type","Brand name (Optional)"
"¿Qué es ser auténtico de verdad, según la psicología? 👇

Confundimos autenticidad con impulsividad. No es lo mismo ""decir todo lo que pensás"" que actuar en coherencia con tus valores.

La autenticidad real no se declara, se demuestra: cuando tus acciones coinciden con lo que te importa incluso bajo presión, incluso cuando nadie te está mirando.

¿Sentís que sos igual en todos lados, o cambiás según quién te mira?
.
.
#DBT #autenticidad #saludmental #psicologia #valores #crecimientopersonal","2026-10-13","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel47/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel47/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel47/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel47/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel47/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel47/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tanto hablamos de decir que no, que nos olvidamos de la otra mitad 👇

Poner límites no es decir que no siempre: es elegir tus síes a conciencia. Un sí que te cuesta poco y le da mucho al otro fortalece el vínculo. El problema no es un sí puntual, es decirlo siempre por miedo al conflicto.

¿Cómo distinguís un sí libre de uno por culpa?
.
.
#DBT #limites #asertividad #saludmental #psicologia #relaciones","2026-10-17","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel48/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel48/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel48/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel48/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel48/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel48/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Aceptar la realidad tal cual es, no como debería ser 👇

Cuando algo ya pasó, discutir si ""no debería haber pasado"" no cambia el hecho. Solo suma sufrimiento al dolor original. Aceptar no es aprobar: es dejar de gastar energía negando lo que ya es.

Ahí, recién ahí, te queda energía para lo que sí podés cambiar.
.
.
#aceptacionradical #DBT #saludmental #psicologia #bienestaremocional","2026-10-20","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel49/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel49/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel49/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel49/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel49/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel49/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dos formas de pararte frente a un problema, y una te atasca más 👇

Willfulness es cruzarte de brazos y pelear contra lo que es. Willingness es hacer lo que la situación necesita, aunque no tengas ganas. Uno te deja atascado, el otro te acerca a lo que importa.

¿Cuál elegís hoy?
.
.
#DBT #regulacionemocional #saludmental #psicologia #mindfulness","2026-10-24","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel50/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel50/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel50/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel50/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel50/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel50/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antes de reaccionar, hacé esto: medí del 1 al 10 👇

No todas las emociones intensas se manejan igual. En verde (1-3) podés pensar con claridad. En amarillo (4-6) empezás a reaccionar más de lo que elegís. En rojo (7-10) tu cerebro racional está offline: primero bajás la intensidad, después decidís.

¿En qué color estás ahora mismo?
.
.
#DBT #regulacionemocional #saludmental #psicologia #inteligenciaemocional","2026-10-27","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel51/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel51/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel51/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel51/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel51/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel51/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cuando explotás por algo pequeño, casi nunca es ""de la nada"" 👇

Hay una cadena de eventos previos que te dejó al límite: cansancio, hambre, una discusión de antes. Verla no es buscar excusas, es encontrar el eslabón que sí podés cambiar la próxima vez.

¿Te pasó de explotar y después entender que venías cargando otra cosa?
.
.
#DBT #regulacionemocional #saludmental #psicologia #autoconocimiento","2026-10-31","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel52/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel52/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel52/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel52/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel52/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel52/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"¿Te enojás por sentir rabia? Esa capa extra tiene nombre 👇

A veces la emoción difícil no es la primera. Sentís rabia, y después te da culpa haberla sentido. Esa segunda capa —la emoción sobre la emoción— muchas veces pesa más que la original.

Validar lo primero que sentiste baja el peso de lo segundo.
.
.
#emociones #regulacionemocional #saludmental #psicologia #DBT","2026-11-03","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel53/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel53/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel53/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel53/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel53/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel53/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pedir perdón de más también es un problema 👇

Disculparte 10 veces por lo mismo no repara nada: satura al otro y te deja en un lugar de ""culpable eterno"" que no ayuda. Una disculpa clara, dicha una vez, con intención, vale más que cinco repetidas por ansiedad.

Lo que realmente repara es lo que hacés distinto después.
.
.
#comunicacion #DBT #saludmental #psicologia #relaciones","2026-11-07","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel54/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel54/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel54/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel54/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel54/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel54/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Una herramienta simple que uso con mis pacientes: el termómetro del malestar 👇

La Escala Subjetiva de Malestar (SUDS) va de 0 a 100. Medís antes de una técnica de calma, y después de nuevo. Ver que bajó de 80 a 60, aunque no sea 0, ya es información valiosa y progreso real.

¿En qué número estás ahora mismo?
.
.
#regulacionemocional #DBT #saludmental #psicologia #bienestaremocional","2026-11-10","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel55/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel55/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel55/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel55/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel55/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel55/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"¿Por qué te angustiás días antes de que pase algo? 👇

La ansiedad anticipatoria aparece antes del evento: tu cuerpo ya está en alerta por algo que ni siquiera sucedió. Imaginar un escenario malo activa las mismas zonas del cerebro que vivirlo, por eso se siente tan real.

Volver al presente —qué es cierto ahora mismo— corta el ciclo.
.
.
#ansiedad #saludmental #psicologia #DBT #regulacionemocional","2026-11-14","12:30:00","false","false","false","false","false","true","false","false","false","false","false","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel56/slide1.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel56/slide2.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel56/slide3.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel56/slide4.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel56/slide5.png","https://raw.githubusercontent.com/EstebanA22/instagram-content-cdn/main/carrusel56/slide6.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","POST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
